"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"2LED1","1","LED","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"BZ_FET1,FAN_FET1","2","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"BZ_R1,FAN_R1","2","100_R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"BZ_R2,FAN_R2","2","100K_R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C1","1","470uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C4,C6","3","0.1uF","","","","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_HandSolder","~"
"C3","1","47uF","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C5","1","10uF","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"DCC1","1","DC_DW","","","","My_Module:MP1584EN_DCDC_Converter",""
"ESP1","1","~","","","","My_Module:ESP32_Freenove_Socket",""
"FAN1","1","12V_Fan","","","","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~"
"FAN_D1","1","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"IO_0_R1,IO_2_R1,IO_12_R1,IO_15_R1,IO_EN_R1,RE_R1,RE_R2,RE_R3","8","10K_R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"J1","1","12V_IN","","","","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~"
"M1","1","Motor_DC","","","","","~"
"MD1","1","~","","","","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",""
"OLED1","1","~","","","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",""
"RE1","1","RotaryEncoder_Switch","","","","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical","~"
"RS_A1,RS_B1","2","~","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
