"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"100kR1,100kR2,100R1","3","R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C1","1","470mF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C4,C5","3","0.1mF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3","1","1000mF","","","","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~"
"CN1","1","~","","","","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",""
"CN2","1","~","","","","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical",""
"D1","1","D_Zener","","","","Package_TO_SOT_SMD:TSOT-23_HandSoldering","~"
"D2","1","SMAJ15A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"D3","1","SMAJ13A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"F1","1","5A Slow","","","","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","~"
"F2","1","1A Fast PTC","","","","Fuse:Fuse_Bourns_MF-RHT070","~"
"F3","1","3A Slow","","","","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","~"
"Q1","1","IRF4905","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
